Main - E1,Main - E2,Main - E3
3.282285196153846,4.165124,3.9287886988888885
3.2829147298076924,4.155709094444444,3.9246468025
3.2777627604166666,4.148876252777778,3.9265652499999995
3.2734835333333336,4.148144375,3.92206497
3.275329260416666,4.151984961111111,3.936428022857142
3.2769301875,4.149050619444444,3.9380374366666664
3.2784262062500007,4.148173194444444,3.936933436666667
3.27999658125,4.154033747222222,3.9381790833333334
3.2769360522727267,4.154956705555556,3.9474775900000005
3.280622618181818,4.382601583333333,3.9351137199999995
3.2813446465909095,4.373645883333333,3.9383164400000004
3.278557228409091,4.3624646,3.936516646666667
3.2726830375000002,4.35549107,3.9373324366666664
3.2762784795454545,4.114554099999999,3.9565673375000006
3.2760081704545456,4.12156445,4.004989827777778
3.274189967045455,4.009880016666667,3.9510259
3.275451975,4.006983,3.9604275222222225
3.278304895,3.996813683333334,3.932272793333333
3.27897149,4.0029574666666665,3.944782266666666
3.28921429,3.994961116666667,3.94637328
3.2803312175,4.008567516666667,3.9487724066666665
3.2744336525,4.01262205,3.9396516599999996
3.2857245624999996,4.009139133333334,3.93040579
2.9901539599999993,4.014162416666667,3.9260732000000003
2.9890467899999997,3.996043033333333,3.94393818
2.9807984,4.0020869333333335,3.9351227499999997
2.9830946333333337,4.013799366666667,3.93518648
3.00384731,4.0111049,3.9346932600000004
2.61417958,4.000383866666667,3.94075065
3.0096203533333337,3.9999541499999993,3.9366521800000003
3.0215445833333328,4.004065000000001,3.9425422599999997
3.0077894766666664,3.9970262000000005,3.9372492
2.996451141666667,4.0042695,3.94302838
2.9984583375000002,4.021026466666666,3.9428297199999998
3.0046753125,4.0320639,3.94120684
3.0037570666666666,4.0078876,3.94696057
3.059785025,4.0211730333333335,3.8591428875
3.0504108214285712,4.0174463,3.883727416666667
3.054726454761905,3.9262857,3.8941053
3.0629794166666664,3.93419855,3.881931983333333
3.0603968190476194,3.94394035,3.8899486333333337
3.0644660952380947,3.9204196,3.8953612
3.066416361111111,3.9275744999999995,3.8958258333333333
3.078004333333334,3.94188515,3.90062535
3.0532665277777777,3.9226929,3.8931190000000004
3.087809411111111,3.91192075,3.8967686666666665
3.072153866666667,3.93227425,3.90486105
3.076906936666667,3.9460626999999997,3.905121216666667
3.0722796933333334,3.92727395,3.8981243500000002
3.0778212899999997,3.94932,3.9102633833333336
3.089426173333333,3.9492534999999998,3.899906866666667
3.085057453333333,3.94118265,3.9135837166666665
3.0744175916666663,4.1529827,3.9129569
3.0437166277777776,4.1541204,3.918262866666667
3.039350994444444,4.163525,3.910663333333334
3.047471688888889,4.136498,3.9094224833333335
3.042607388888889,4.126745,3.91349915
